document	label
영자를 지네 아빠한테 떠밀어? 지네 집이 파탄이 나? 엄마는 그런 말을 듣고도 가만히 있고. 영자도 입 꼭 다물고 있고. 이게 뭐야? 이게 다 뭐지?	0
아 마지막으로 이 시간제 일자리가 제대로 자리 잡기 위해서는 어떤 노력이 필요할지 마무리 발언으로 부탁드립니다.	1
몸에 배고 익숙한 것을 포기하는 게 아깝다고? 어때 할 수 없지. 새로운 것에 적응하면 돼! 죽음은 다만 익숙한 것을 버리고 새로운 것에 적응하는 것일 뿐이야.	1
어~ 뒤늦게 이 부분에 대해서 후회를 하고 반성을 했던 폴리오네 역시 이 불길 속으로 몸을 던지는 것으로 어~ 오페라가 막을 내리죠.	0
엄마와 아빠의 말이 끊겼다. 누군가 냉장고 문을 열었고 곧이어 물을 따르는 소리가 들렸다. 그리고 또 침묵이 이어지다가 엄마가 중얼거렸다.	0
집주인이 거절을 못 하고 문을 열어주게 되면 그때부터 이야기는 달라진다.	0
지난달 삼십일일 막을 내린 이천십칠년 국정 감사에서 교육계 양극화 현상이 두드러지게 나타나는 것으로 드러났습니다.	1
오늘 목격자에선 길을 걷다 어깨가 부딪쳤단 이유로 무려 열여섯 명이나 폭행한 사건을 알아봅니다.	0
싱글족이 쇼핑을 하고, 새로운 사람을 만나고, 정보와 뉴스를 접하는 공간은 모두 인터넷이다. 그만큼 인터넷은 싱글족의 일상생활에까지 깊숙이 뿌리를 내리고 있다.	1
내가 문을 열고 들어올 때부터 이상한 표정을 짓던 문타가 걱정스레 물었다.	0
화요일 오전 형사들은 홍성준의 자취집으로 찾아갔다. 출입문이 단단히 잠겨있었다. 형사들이 자취집 주인과 함께 출입문의 잠금 장치를 부수고 문을 열었다.	0
아줌마, 그렇게 하면 사람들이 이상하게 생각할 거예요. 약국 문을 닫아서도 안 돼요. 그렇게 하면 사람들이 왜 약국 문을 닫는지 궁금해할 거예요.	1
스님은 천태종의 수행법을 수증하려고 범인으로서는 도저히 따라갈 수 없는 고행정진을 통하여 상구보리의 왕상의 길을 걸었다.	1
물론 이화경 오리온 사장처럼 처음부터 여성 경영인으로서 길을 걷기 위해 철저하게 경영수업은 받은 사례도 있다.	1
언젠가 작은 아파트라도 하나 얻지 그러느냐는 문경에게 어머니는 그렇게 대꾸하곤 그만이었다. 늘 하룻밤, 혹은 몇 시간씩 머물다 가는 사람들만 보면서 어느덧 몸에 배어버린 생각인지도 몰랐다.	1
이번 전쟁으로 인해 저 젊은이 역시 어머니에게 불효를 저질렀나 봅니다. 저렇듯 나무 닭을 깎으며 닭이 울 때까지만 살라는 것은 어머니의 늙음이 가슴 아픈 일이 아니겠습니까.	1
개인적인 인간 관계에서나 줄곧 쓰이던 '배려'라는 말이 비즈니스에서도 관심을 얻고 있는 이유는 무엇일까? 경영에 있어서도 사람이 가장 중요하다는 생각이 뿌리를 내리고 있기 때문이다.	1
김 변호사님은 유언장이나 유산 관련해서 사건 맡아보신 적이 좀 되실 거 같은데 머 눈에 띄는 사례 없었습니까?	1
됐어. 이번에도 네 장단에 놀아날 줄 알아? 여기서 기다리면 신태균이나 경비가 쫓아오겠지. 좋은 말 할 때 열어. 날 더 이상 열 받게 하지 말라고.	1
라혼은 잔폭광마의 말을 듣고서야 금강을 감싸고 있던 결계가 문제였다는 것을 깨달았다.	0
계속 듣다 보면 앞뒤 연관이 불분명해지고, 이치에 닿지 않는 경우가 많았다. 그러나 천국은 그렇게 사람들의 머릿속에 서서히 자리 잡아가고 있었다.	1
이케 둘이 올 가능성이 있고 그담에 우리가 저~ 대표단 중에 그~ 그~ 눈에 띄는 게 참관단을 보내겠다.	1
누나를 놀려먹고 태연스레 숫자나 세고 있는 동생의 작태에 열 받은 것도 까먹고, 정말로 숨을 내쉬며 진정하고 있는 의지였다.	1
그러면 어떻게 해야 하는가. 언어는 학습이다. 그러므로 어릴 때부터 몸에 배어 쉽게 고쳐지지 않겠지만, 시간과 공을 들인다면 얼마든지 고칠 수 있다.	1
이곳에 창틀부터 거실장까지 곳곳에 그의 손에서 탄생한 것들이 눈에 띄는데요.	1
말이 되는 이야기였다. 뒤통수를 얻어맞은 기분이었다. 모을이 이들을 이끈다면 충분히 승산이 있는 이야기였다. 하지만 그녀는 인상을 찌푸리지 않았다. 여전히 웃는 얼굴이었다.	1
김진곤 대위의 실없는 말에 또 한 번 열 받는 우리 대대장이었다. 무안해진 1중대장은 머리를 긁적이며 쩝 소리를 내며 입맛을 다셨다.	1
이때 중요한 것은 반드시 (일의 중요도에 변동이 없는 한) 우선 순위를 지키는 것이다. 평상시 몸에 밴 불합리한 습관으로 되돌아가는 것을 강력하게 경계해야 한다.	1
사람들의 마음을 고쳐 주는 의사가 돼라.는 아버지의 뜻을 받들어 교육자의 길을 걷게 된 페스탈로치……. 그의 묘비명에는 다음은 글이 새겨져 있다.	1
그이는 여기 안 계세요. 그날 밤중으로 집에 돌아갔는 걸요. 집엔 아무도 없어서 문을 열지 못하겠어요.	0
최 씨와 안 전 수석은 이 말을 듣고 조용히 고개를 끄덕였던 것으로 알려졌습니다.	0
어제 전혀 생각지 못했던 두 사람의 결혼 얘기를 꺼내는 시아버지의 말을 듣고 내내 고민한 수미였다.	0
열쇠로 문을 열고 들어서자, 은은한 촛불 그림자와 함께 부드러운 오르골 소리가 들려와 그녀는 흠칫 놀랐다. Happy birthday to you…… Happy birthday to you……	0
어머니는 얼른 웃는 얼굴로 항아리를 받았습니다. 항아리는 벙벙한 가슴을 안고 마루에 자리를 잡았습니다.	1
예. 제 이름 태평이 맞습니다. 그래도 분원 문 닫는단 말씀은 해주셨어야지요! 어떻게 들어간 분원인데. 나으리 때문에 쫓겨나게 생겼습니다.	1
거기에 이제 이유가 평양 감사나 이남 사람이 가다 보니까 착취를 많이 당하다 보니까 굉장히 아주 억눌려있다가 기독교가 들어오니까 평양에 자리 잡게 되는군요.	1
노 원내대표에 부인인 김지선 씨를 위로하다가 도리어 본인이 눈물을 쏟는 그런 가슴 아픈상황이 됐는데요.	1
아이사코스의 속도가 눈에 띄게 떨어졌다. 폭뢰 투하는 잠시 멈추었다. 아마도 발사관에 폭뢰를 새로 장착하는 중인 듯했다. 하지만 다시 투하가 시작되면 그 때는 끝이었다.	1
그 여자, 박순자는 절에 도착하고나서야 마침내 그토록 고통스럽던 마지막 생애의 막을 내렸었다.	1
여덟 명의 장정들이 자리를 잡자 넓던 천막 안이 갑자기 좁아 보인다. 좌정이 끝나자 한대위가 다시 병사들을 둘러본다.	0
바울은 세계 선교를 할 때 여러 가지 어려운 일들을 많이 당했다. 그때마다 조용히 하나님께 기도하여 하나님의 뜻이 어디에 있는가를 찾아서 하나님이 새로 인도하는 길을 갔다.	1
창조적 상상력이라는 강력한 동기에 사로잡힌 사람에게 변화가 생긴다는 사실을 기억하십시오. 이러한 습관이 몸에 밸 때까지 자제력은 반드시 필요합니다.	1
그런데 마을을 거의 벗어났을 때, 등에 큰 검을 메고 있는 남자가 눈에 띄었다. 언젠가 본 적이 있는 크리스 패튼을 닮은 남자였다.	0
불의에 사고로 이제 어~ 중도하차가 하게 되고 그~ 그 많은 분들이 사실은 속상하고 많은 분들이 피해를 봤지만 가장 가슴 아팠던 사람은 당사자거든요.	1
길가에서 아운의 신형이 갑자기 사라졌지만, 길을 걷던 사람들 중 아운의 신형을 본 사람은 아무도 없었다. 집을 떠나 하남성 무림맹으로 출발한지 오 일째 되는 날이었다.	0
후회스런 생각에 가슴이 아팠지만 그는 내처 걸음을 옮기는 수밖에 없었다.	1
지금 그녀는 뜨겁게 덥힌 방 안에 잠들어 있다. 우태가 왔는 줄도 모르고. 잠든 그녀의 이마에 송글송글 땀이 맺혔다. 깊은 꿈을 꾸는 걸까. 아니면 무엇에 쫓기는 걸까.	0
지금 이국종 교수하고 특히나 가까운 사이였다 그래서 이국종 교수의 그~ 안타까움을 이~ 표시하는 그 말이 더군다나 이렇게 많이 에스앤에스를 떠돌아다니면서 굉장히 더 가슴이 아프게 했던 거죠.	1
그녀는 트림을 하며 문을 닫았다. 그 순간 그녀의 방 친구가 수건만 걸친 채 난로 옆에 앉아 몸을 녹이고 있는 모습이 보였다.	0
(다)에서 격조사 -에를 감추어 버리면 부자연스러운 말이 되고 만다. 그러니 격조사 -에는 되도록이면 감추지 말아야 한다.	0
「아아, 제왕인 내가 천민의 꿈을 꾸고 있는 것이냐? 천민인 내가 제왕의 꿈을 꾼 것이냐?」	0
내일쯤이면 우리는 트라얀 시에 도착할 것이오. 거기는 꽤 큰 도시니 잘만 하면 자리를 잡을 수도 있을 것이오.	1
지나다가 슬구 일행을 봐도 쳐다보지도 않은 채 묵묵히 자기 갈 길을 가거나 자기 할 일을 했다.	1
두 사람의 말을 듣고 있던 조왕은 마침내 진여의 말을 받아들여 곧 군사를 내몰아 한신을 치라고 했다. 이좌차는 자신의 주장이 꺾이자 하늘을 우러러 길게 탄식했다.	0
듣던 것보다 훨씬 힘든 길이였네. 하지만 얻은 것도 많아. 수천리 길을 걸으며 많은 생각을 했지. 내가 왜 매번 자네한테 밀려나야 하는지.	0
그러면 그것이 아버지한테 그것이 억울함을 푸는 기 그 말이 되는 게 아니라 거꾸로 아니 저~ 대통령을 지내신 분이 그렇게 자살로써 그~ 저~ 대응하느냐 이래 된다 말이죠.	1
결국 오랜 시간 잠복 중인 형사에게 잡히며 모녀의 황당한 사기극은 막을 내렸습니다.	1
어머니는 내 태몽 이야기가 나오면 으레 이렇게 말씀하시며 빙그레 웃으신다. 그 대단한 태몽이란 바로 용꿈이다. 어머니 몸을 커다란 용이 칭칭 감고 하늘로 올라가는 꿈을 꾼 뒤 내가 태어났다.	0
스크루지가 그 말을 어디서 들었더라? 그가 꿈을 꾼 것이 아니었다. 스크루지와 유령이 문지방을 넘어서는 순간 피터가 소리 내어 읽은 것이 분명했다. 그런데 왜 계속 읽지 않는 걸까?	0
대한민국이 지금 폭력 앞에 이런 길을 걷는다는 것은 안정과 안전을 잃는 과정이고 이는 폭력과 야만의 세계에게 비폭력과 문명의 세력이 패배하고 있다는 증거입니다.	1
죽기 전에 나한테 찾아왔었어. 아버지라 불러 달라고. 그 사람한테 나. 죽을 때까지 보고 싶지 않다고. 못을 박았어. 살고 싶어 찾아온 사람을 절벽 밑으로 떠밀었다고.	1
이 가족의 후손들은 여전히 이곳에 살고 있는데 밝고 흰 얼굴색 때문에 쉽게 눈에 띈다고 한다.	1
다만 왜 저희도 어른이 돼서 생각을 해보면 효자든 아니든 간에 부모님 생각을 어느 때 해보면 자기가 잘했던 못했던 부모님에 대한 생각 때문에 가슴이 아파지고	1
그걸 너무 오랫동안 잊고 살았어. 대호, 자네 때문에 말일세. 자네와의 의리 때문에 사업에 뛰어들었고, 결국 여기까지 왔네. 이제 내 몫을 다 했으니. 난, 다시 내 길을 가려고 하네.	1
우현의 칼날처럼 차가운 눈동자가 산영을 스쳐 지났다. 그리고는 이내 문을 닫고 멀어진다.	0
나는 E♭가 좋다. 나의 무의식에는 내림마장조의 편안함이 깊이 자리 잡고 있다. 아마도 어린 시절 어머니와 삼촌이 치셨던 ‘즐거운 나의 집’, ‘매기의 추억’의 E♭의 편안함인 것 같다.	1
이후의 역사는 진(秦)나라 31대 영정(嬴政)을 시황제(始皇帝)라고 부르고 황제로 부르기를 고작 3대로 15년간 막을 내리고 유방(劉邦)이 항우(項羽)를 물리치고 한(漢)나라를 건국하였다.	1
흠칫 하던 비서는 문을 닫으려고 잡았던 손잡이를 놓고 꾸벅 인사를 한 후 조용히 사무실을 나갔다. 씩씩대며 그를 노려보던 민여진은 문을 열어두라는 그의 말에 의외라는 듯 눈썹을 치켜 올렸다.	0
놈 씨로 보는 게 아니라면, 저 자식 너한테 상당히 건방지게 굴고 있는 거야. 한 번 못을 박아. 돼먹지 않게 굴지 말라고.	1
그밖에도 '츠(つ)'발음이 그들에게는 어려운 듯해 책상이란 의미인 '츠쿠에(つくえ)'를 '츄쿠에(ちゅくえ)'로 발음하는 학생이 눈에 띄었다.	0
그렇게 홀로 있을 때는 침묵으로 있고, 함께 있을 때는 사랑으로 있는 영성생활이 몸에 배여가고 있었다. 내 숨도 깊어져갔고 숨이 깊어갈수록 마음을 들여다보는 깊이도 깊어만 갔다.	1
청우의 말을 들었는지 복 대인이 뒤를 흘깃 돌아보며 입가에 미소를 지었다. 그리고는 가래 끓는 탁한 목소리로 청우에게 말했다.	0
재이가 말했다. 그러나 사실은 아니었다. 다 지난 일이라고 말할 수 없었다. 그날 라희가 두고 간 대본 때문에 재이의 삶이 뿌리째 엎어졌고 다른 곳에 뿌리를 내리기 시작했던 것이다.	1
자살을 택하는 많은 사람들도 그런 생각을 하지 않을까. 이런 현실의 악몽을 죽음으로 깨어버리고 싶은……. 그리하여 원위치에서 다시 시작할 수도 있을 거라는 막연한 꿈을 꾸고 있지는 않을까?	1
회사 문을 열기 전에 재무 프로세스를 검토해줄 세무사, 회계사, 재무 분석 전문가를 찾아 그들의 말에 귀를 기울이고 배운다.	1
십년 만에 이혼을 한 두 사람 그런데 길을 가던 금희 씨 동네 사람들에 대화 소리를 엿듣게 됩니다.	0
인터넷이 자리 잡기도 전에 온라인 은행을 만들기도 했었고 직접 우주여행을 하겠다며 로켓 개발에 열을 올리기도 했었으니까요.	1
호자가 길을 걷다가 흙에 반쯤 덮인 채 반짝거리는 물체를 보았다. 가서 주워보니 조그만 거울이었다. 호자는 자신의 얼굴이 비친 거울을 한참 들여다보다가 획 던져버리고 말았다. 옆에 있던 이웃이,	0
주은래는 진우재에게 소대를 이끌고 산골짜기 우측에 있는 구릉으로 올라가 몰래 적군을 관찰하라고 명령했다. 그리고 나머지는 적군의 눈에 띄지 않도록 숨을 죽여 가며 재빨리 앞으로 나아갔다.	0
만에 하나 정말 케이티가 잠비아로 떠난다면, 올해 최고의 유행어는 조사해보나 마나 이 말이 될 것이다.	1
공허한 밤의 어둠 속에서 시작된 계절은 이제 같은 모습으로 막을 내리고 있다.	1
이때 복도 저편에서 발소리가 들려 왔습니다. 옥이는 벌떡 일어나서 문을 열고 나갔습니다. 의사 선생님이 온 것이었습니다.	0
여기서 주목할 부분은 그의 문학 공부가 무인의 길을 걷기로 결심했던 22세 때까지가 전부였다는 것이다. 그런 사실을 고려해 볼 때, 그는 천부적으로 문학적 소질을 타고 태어났다고 볼 수 있다.	1
미치겠네. 나 지금 열 받아서 아줌마 편들러 왔거든. 이런 식이면 돌아간다.	1
좋은 밤이오. 잘 자시오! 숱한 난관들이 있다 하더라도 좋은 꿈을 꾸시오!	1
천하의 허준이 형님이 이 촌구석 의원에서 물지게 지고 약초꾼 노릇이나 한다는 게 말이 되는 거유?	1
지금 하는 어떤 행태와 정치적 행보를 전혀 그와 정반대인 길을 걸으니까 지금 우리가 비판하는 것 아니겠습니까?	1
매우 강한 영업능력을 가지고 있고 독자성을 보유한 유명한 인재배출기업으로 알려져 있는 R사. 최근에는 눈에 띄지 않게 되었지만 과거에는 모든 매니저의 책상 위에 이런 푯말이 놓여 있었다.	0
말 없는 어부가 말이 많아지자 잠녀는 조금은 걱정스런 얼굴을 했다. 어부도 입을 다물었다. 속에서는 이러고 저런 말이 만들어지고 있었으나 말 되어질 게 딱히 더 있는 것도 아니었다.	0
그리고 북한은 안보리 결의안을 준수해야 한다고 촉구하고 각국이 한반도 비핵화를 위한 육자회담 재개에 노력해야 한다고 분명히 못을 박았습니다.	1
•궁극적으로 과학적이고 체계적인 인사관리 시스템을 뿌리 내리게 하고 나아가 정부 전체의 생산성과 경쟁력을 높이는 것	1
어디서 씨앗이 날아 들어왔나 하는 생각이 들면서도 엄청 신기하더라고요. 흙도 없는 배수구에 뿌리를 내리고 새싹이 나왔다는 것이. 한편으로는 흙이 없으니 금세 죽겠거니 했어요.	0
식물을 재배할 때 꼭 필요한 것이 무엇이냐고 물으면, 누구나 ‘흙’이라고 대답한다. 흙이 있어야 식물이 뿌리를 내리고 영양소를 빨아들여 자랄 수 있다는 것은 만고불변의 진리였다.	0
아무도 들여보내지 말라는 엄명을 내렸사오나 소장이 목 베일 작정을 하고 문을 열어놓고 기다리고 있사옵니다.	0
형 민재는 어릴 때부터 항상 선두 그룹을 유지하면서 나름대로 경쟁에서 살아남는 법과 어떻게 하면 자기 위치를 계속 지켜 나갈 수 있는지에 대한 자세가 몸에 배어 있고 책임감도 강했다.	1
그들은 가난이나 병고 등 참지 못할 것을 참으면서도 묵묵히 자기의 길을 걸어갔다. 그야말로 인내의 화신들이다.	1
한편 남원으로 내려간 황희는 문을 닫고 바깥출입을 하지 않았다. 심지어 과거에 함께 합격한 동기가 찾아가도 만나주지 않았다.	0
퍼지기도 했었는데 이 때문에 한 후배 의사가 이국종 교수는 오히려 후배 존중이 몸에 배어 있는 사람이다.	1
그러니까 이런 상황도 충분히 벌어질 수 있는 건데 여기에 대해서 일괄적으로 못하게 하는 건 그럼 말이 되냐 이런 반론이 있어요.	1
겨울 달밤에 이 길을 걸어보면 달빛이 계곡과 산굽이를 환하게 비춰주는데 바로 선경이다. 또한 시원하게 들려오는 솔바람 소리에 가슴에 가득 찬 진세(塵世)의 우수가 날아가는 것 같다.	0
나는 검찰을 갖다가 더 이상 신뢰하지 않는다라는 말을 듣고 바로 옷을 벗습니다.	0
너무 열 받지 말라고. 나도 너 죽이고 싶었던 적이 한 두 번이 아니었어.	1
붉게 열 받은 봉팔이의 목소리가 실바람처럼 귓전을 스치고…. 이윽고 그 모든 소음을 뒤로 하고서 우리는 우리 과 주막으로 들어갔다.	1
 gigabyte)급 휴대용 메모리로 경제성 등의 측면에서도 타의 추종을 불허할 제품으로 자리를 잡아가고 있다. 바야흐로 플래시 메모리의 세계가 도래하고 있는 것이다.	1
잠속에서, 내게 끊임없이 속삭이는 겁니다. 아, 이거 꿈이야. 지금 꿈을 꾸는 거라고. 어제도 그제도 똑같은 꿈을 꾸었지. 끔찍하지만, 내게 어떤 위협도 가하지 못하는 꿈일 뿐이야!	0
그 순서 따위에 골머리를 썩히는 것보다 한결 아름다운 것이 있어，그것이 몸에 배어들도록 감각을 활짝 열어두고 싶다.	1
녀석은 제 엄마 운전 못하게 필사적으로 매달리고 있고 킹콩은 또 녀석이 '니'라고 하니까 열 받아서 서로 치고 받고 난리다.	1
개혁 개방의 흐름을 타고 '타 지역 경영'을 추구하는 온주상인들은 "시장이 있는 곳에는 언제나 온주상인이 존재한다"는 진취적인 사고방식 속에 북경, 상해 등 중국 전역에 뿌리를 내렸다.	1
제마의 방에 들어선 사내는 문을 닫았다. 그리고는 갓을 풀어 한쪽에 벗어놓았다.	0
브래지어와 팬티 바람의 지수가 막 청바지에 한쪽 발을 끼우고 있었다. 문을 열고 안으로 들어서는 도현을 보자마자 지수가 소리를 질렀다.	0
피핀이 말했다. 저녁 가까이에 눈을 뜨자마자 그는 모닥불을 피지 말 것, 다시 밤행군을 떠난다는 말을 들었던 것이다.	0
모험심이 강해 충동적으로 일을 저지르기도 한다. 그런 기질이 몸에 배면 수많은 시행착오를 겪으며 곤경에 처할 수 있다. 그렇지만 직감력과 순발력이 강해서 웬만한 어려움은 스스로 벗어날 수 있다.	1
'진정한 삶'이라는 이 숙제를 달성하는 길은 꿈을 꾸는 것에 온전히, 충분히, 푹 빠져 사는 겁니다. 우리는 꿈을 꾸고, 또 이루고 살도록 만들어졌으니까요.	1
열 받다기 보다 아~ 근데 그때 군기가 들어서 그런 거 없는데 뭐~ 할 말이 없는 거지	1
한 달 후에 천하대회의가 열린다니 연일 의창으로 많은 사람들이 들어오네요. 이젠 어지간한 객잔에는 자리를 잡기가 힘이 드니 말이에요.	0
정재규는 눈을 부라리며 호령했다. 그의 태도에서는 몸에 밴 양반의 서슬이 내뻗쳤고, 장덕풍은 자신이 뭔가 헛짚고 있다는 것을 깨달았다.	1
나이 40은 넘어 보였었다. 그가 내 옆에 자리를 잡고 앉을 때 보았던 그의 모습은, 그런데 지금 그는 마치 어린아이처럼 들떠서 소리치고 있다. 예사로워 보이지 않는다.	0
특히 장터 한쪽에 자리를 잡은 커다란 천막 속에는 흥겨운 분위기가 가득합니다. 장날에 맞추어서 곡예단이 들어왔기 때문이지요.	1
근데 지금은 그런 패턴이랑은 또 다르게 굉장히 자리를 깊숙하게 자리 잡았고 일상에서도 많이 쓰는 말이 됐고요.	1
유람선이 쉴 새 없이 오르내리는 네바 강 양편으로는 의사당과 Port, 궁전, 박물관, 정부기관, 해 군청 등 많은 아름다운 건물들이 자리 잡고 있다.	1
멘토링 10 30분 잔소리해서 책상 앞에 앉혔는데 3분 만에 냉장고 문을 열어요	0
나는 잠들기 시작한다. 나는 어렴풋하게 느낀다. 지금 내가 꿈을 꾸고 있다는 것을. 그는 아버지의 얼굴이 되어, 남편의 얼굴이 되어 언제나 내 꿈속에 함께 있다.	0
조회를 끝내고 교실 문을 열고 나가자마자 한 남학생이 긴장된 표정으로 나를 따라오며 말했다.	0
나이도, 인종도, 부와 빈곤, 직업, 그 어떤 것도 꿈을 꾸는 데 한계가 있을 수 없다.	1
나는 길을 가던 중인데 많은 사람들로부터 여기 서양인들이 묻혀 있다는 말을 들었습니다. 그래서 그들의 얼굴이 어떻게 생겼는지 보고 싶은 호기심이 생겼습니다.	0
개경에 도착한 이보와 정복수의 선발 특공대가 개경의 성문에 도착했을 때, 반란군들이 문을 닫고 성을 수비하고 있었다.	0
여자의 마음이란 묘하다. 그 수요일 밤, 침대에 들어간 앨릭스는 모든 게 만족하고 편했다. 한때 상처받을 뻔했던 그녀의 행복도 다시 예전처럼 의기양양하게 뿌리를 내렸다.	1
한국 스포츠는 2002년 월드컵 외에도 이봉주가 또다시 아시안게임 2연패를 달성함으로써 화려하게 막을 내렸다. 이봉주가 각종 체육시상식에서 수시로 시상대에 올랐음은 당연했다.	1
그래서 개성공단에 들어간 사람이 사실은 지금 문을 닫아 놓고 있지만 크게 손해는 안 봤을 거예요.	1
길 가다가 액세서리 노점상 보면, 그래도 억지로라도 내 생각이 나지 않겠나?	0
최의와 그 일파들이 모두 제거되자 김준 등은 곧 병권을 고종에게 바쳤고 이로써 최씨 정권은 4대 60여 년 만에 막을 내렸다.	1
하늘이 무너지지는 않습니다. 오늘 당장은 어떤 두려운 일도 일어나지 않을 것입니다. 물리학자로서 신중한 단어 선택이 몸에 밴 잭슨(Jackson)의 말이다.	1
저는 수업내용도 내용이지만 오랜 기간 동안 미국 생활을 하신 교수님의 몸에 배인 자연스럽고 세련된 매너를 많이 배웁니다. 중국에선 배우기 힘든 내용이거든요.	1
때로 사랑이 당신을 지나쳐 가는 것처럼 생각되어도 문을 열고 나는 남자를 좋아한다, 기다리고 있다, 라고 확실하게 신호를 계속 보내면 사랑은 반드시 찾아온다.	0
생각해보고 결정 하거라. 사랑이란 애 같은 장난은 불필요하다는 걸 너 역시 잘 알겠지. 살다보면 정이 들 것이고 그게 사랑이라고 믿어도 될 만큼 크게 자리 잡을 것이다.	1
그 아이디어의 근간에 있었던 것이 바로 댄스 음악이다. 당시 댄스 음악은 사운드의 변화는 있어도 일본 시장에서는 엔터테인먼트로서 완전히 뿌리를 내리고 있었다.	1
그럴 듯한 테트라포트에 자리를 잡은 씁새는 곧바로 채비를 엮고 새우를 끼워 던졌다.	0
이제 이 부분이 눈에 띄는데 특히 이제 이 학년 이 학기 내신 등급이 이전 학기에 비해서 크게 상승을 했기 때문에 삼 학년 일 학기 때도 이 추세를 이어나가는 것이 좀 중요할 것 같습니다.	1
그는 고려대를 나와 미국 일리노이주립대 석사과정을 거친 해외파다. 미국에서 돌아와 92년부터 사업가의 길을 걷고 있다.	1
채련의 말을 들으면서 근호는 하나 하나 머리 속에 채련의 모습을 각인시키고 있었다. 그녀의 눈… 코… 입술… 향기로운 머리카락 가지고 싶어도 가질 수 없는…	0
그가 그녀의 귓가에서 낮게 말했다. 그녀는 숨을 죽인 채 그의 말을 듣는다. 그를 향한 흠모의 감정이 뼈에 스미듯 혼신에 밀착됨을 실감하면서, 그녀는 그의 가슴에서 얼굴을 든다.	0
양강, 소양강 그놈 얘기는 정상적인 게 하나도 없군. 땅에서 솟아나? 그게 말이 된다고 생각하나. 그걸 정보라고 가져온 거냐?	1
길을 가던 중 명예 씨 눈에 띈 아내 그런데 순정 씨 곁에 웬 남자까지 보입니다.	0
● 문을 열고 들어갔을 때 침대가 약간 비켜 있는 것이 좋습니다. 즉 침대에서 문을 대각선으로 보는 형태입니다. 그리고 조명은 형광등보다는 백열등으로 된 간접 조명이 좋습니다.	0
우리 반 사물패들은 징검다리를 건너가 제방을 타고 좀더 위쪽으로 올라가 자리를 잡고 앉았다.	0
